"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Vyletelka M.","Vyletelka, Michal (59135000000)","59135000000","ESG Score Uncertainty and Excess Stock Returns: European Stock Market Case","2024","Prague Economic Papers","33","2","","137","163","26","1","10.18267/j.pep.854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193595786&doi=10.18267%2fj.pep.854&partnerID=40&md5=1c46a334427766f2ed2419bbc93eb0dc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193595786"
"Sobhan R.; Mia M.R.","Sobhan, Raihan (57215211352); Mia, Md Rasel (58985637100)","57215211352; 58985637100","Impact of board characteristics on integrated reporting: evidence from South Asian countries","2024","Journal of Financial Reporting and Accounting","","","","","","","0","10.1108/JFRA-07-2023-0363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190359465&doi=10.1108%2fJFRA-07-2023-0363&partnerID=40&md5=7413a41ee02b79262764a6b0fc1eea16","Article","Article in press","","Scopus","2-s2.0-85190359465"
"Ayaz G.; Zahid M.","Ayaz, Gohar (59223684500); Zahid, Muhammad (57188691578)","59223684500; 57188691578","Trends, shifts and future prospects of sustainable finance research: a bibliometric analysis","2024","Sustainability Accounting, Management and Policy Journal","","","","","","","0","10.1108/SAMPJ-06-2022-0340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198847538&doi=10.1108%2fSAMPJ-06-2022-0340&partnerID=40&md5=c567d57a00c914c209a644cbbdcf32f2","Review","Article in press","","Scopus","2-s2.0-85198847538"
"Gharbi M.; Jarboui A.","Gharbi, Manel (56067251500); Jarboui, Anis (55842031700)","56067251500; 55842031700","Managerial entrenchment, corporate social responsability and the moderating effect of dividend policy: empirical evidence from French listed companies","2024","International Journal of Law and Management","","","","","","","0","10.1108/IJLMA-04-2024-0130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195454366&doi=10.1108%2fIJLMA-04-2024-0130&partnerID=40&md5=c1690710caf6482322b1380cc10e6dae","Article","Article in press","","Scopus","2-s2.0-85195454366"
"Al-Banna H.; Jannah S.M.","Al-Banna, Hasan (57821347700); Jannah, Syayyidah M. (57821598700)","57821347700; 57821598700","What Drives Muslim Investors to Be Sri? The Role of Religiosity","2024","Interdisciplinary Journal of Management Studies","17","1","","147","168","21","0","10.22059/ijms.2023.349029.675396","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186402178&doi=10.22059%2fijms.2023.349029.675396&partnerID=40&md5=53a09dac6d3f5171050109a63459c529","Article","Final","","Scopus","2-s2.0-85186402178"
"Jibril R.S.; Isa M.A.; Hamid K.T.; Maigoshi Z.S.","Jibril, R.S. (57718417200); Isa, M.A. (57718356400); Hamid, K.T. (58035503500); Maigoshi, Z.S. (57192068349)","57718417200; 57718356400; 58035503500; 57192068349","Corporate Board Attributes, Institutional Strength and Energy Disclosure Practices for Controlling Greenhouse Gas Emissions in Nigeria","2024","Journal of Environmental Accounting and Management","12","2","","201","219","18","2","10.5890/JEAM.2024.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185477840&doi=10.5890%2fJEAM.2024.06.007&partnerID=40&md5=ffa66136c4982c39736249e41be33089","Article","Final","","Scopus","2-s2.0-85185477840"
"Panda M.; Sharma P.; Laszlo V.; Kapse M.; Sharma V.; Mahajan Y.","Panda, Manoj (57205141471); Sharma, Pankaj (57211318478); Laszlo, Vasa (16317891500); Kapse, Manohar (57235709900); Sharma, Vinod (57202395219); Mahajan, Yogesh (57337836200)","57205141471; 57211318478; 16317891500; 57235709900; 57202395219; 57337836200","ESG factors in M&A in India: Performance and market insights from 2010 to 2023","2024","Investment Management and Financial Innovations","21","2","","310","322","12","0","10.21511/imfi.21(2).2024.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198566871&doi=10.21511%2fimfi.21%282%29.2024.25&partnerID=40&md5=24d1f4bf73192382feae19b54c1ba8ca","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198566871"
"Alshdaifat S.M.; Abdul Hamid M.A.; Ab Aziz N.H.; Saidin S.F.; Alhasnawi M.Y.","Alshdaifat, Sajead Mowafaq (59203380600); Abdul Hamid, Mohamad Ali (13609051900); Ab Aziz, Noor Hidayah (56446888900); Saidin, Saidatunur Fauzi (56028311500); Alhasnawi, Mushtaq Yousif (58679806400)","59203380600; 13609051900; 56446888900; 56028311500; 58679806400","Corporate governance effectiveness and firm performance in global crisis: evidence from GCC countries","2024","Corporate Governance (Bingley)","","","","","","","1","10.1108/CG-12-2023-0518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198061386&doi=10.1108%2fCG-12-2023-0518&partnerID=40&md5=437851ab74435043192ff701e5e5d34b","Article","Article in press","","Scopus","2-s2.0-85198061386"
"Azad S.; Tulasi Devi S.L.; Mishra A.K.","Azad, Shivam (58653413800); Tulasi Devi, S.L. (57201966539); Mishra, Anand Kumar (57833152800)","58653413800; 57201966539; 57833152800","Investing in our planet: Examining retail investors' preference for green bond investment","2024","Business Strategy and the Environment","","","","","","","2","10.1002/bse.3743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189154070&doi=10.1002%2fbse.3743&partnerID=40&md5=4f5154246cd13165f50b9f2b4dd35f85","Article","Article in press","","Scopus","2-s2.0-85189154070"
"Hens T.; Trutwin E.","Hens, Thorsten (6603937504); Trutwin, Ester (58406109400)","6603937504; 58406109400","Modelling sustainable investing in the CAPM","2024","Annals of Operations Research","","","","","","","0","10.1007/s10479-024-06110-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197887539&doi=10.1007%2fs10479-024-06110-5&partnerID=40&md5=da7a4eb4bed6f389a06824eacddf46cd","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197887539"
"Hardyment R.","Hardyment, Richard (58986632200)","58986632200","Measuring Good Business: Making Sense of Environmental, Social and Governance (ESG) Data","2024","Measuring Good Business: Making Sense of Environmental, Social and Governance (ESG) Data","","","","1","297","296","0","10.4324/9781003457732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190458191&doi=10.4324%2f9781003457732&partnerID=40&md5=9c80724bb21edf536018339722db1ed6","Book","Final","","Scopus","2-s2.0-85190458191"
"Folqué M.; Escrig-Olmedo E.; Corzo Santamaría T.","Folqué, Maria (6506388842); Escrig-Olmedo, Elena (55450203500); Corzo Santamaría, Teresa (56177893100)","6506388842; 55450203500; 56177893100","Integration of Advanced Sri Practices Into the European Asset Management Industry: A Survey of Drivers","2024","SAGE Open","14","1","","","","","0","10.1177/21582440241237893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190293261&doi=10.1177%2f21582440241237893&partnerID=40&md5=8bc97c781f2213dca824a2c1f5e13d62","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190293261"
"Goswami A.; Malik P.","Goswami, Anju (57202636418); Malik, Pooja (57200527630)","57202636418; 57200527630","Risks and financial performance of Indian banks: a cursory look at the COVID-19 period","2024","Benchmarking","","","","","","","1","10.1108/BIJ-02-2023-0109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186210108&doi=10.1108%2fBIJ-02-2023-0109&partnerID=40&md5=929c0cc514c6df7bfae51fc4cd7c1aac","Article","Article in press","","Scopus","2-s2.0-85186210108"
"Li X.; Li W.; Xu J.; Wang L.","Li, Xiaofei (58101678200); Li, Weian (36065492700); Xu, Jian (57204417726); Wang, Lixiang (57984686800)","58101678200; 36065492700; 57204417726; 57984686800","Retail investor activism and corporate environmental investments: evidence from green attention","2024","International Journal of Emerging Markets","","","","","","","0","10.1108/IJOEM-11-2023-1889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198057569&doi=10.1108%2fIJOEM-11-2023-1889&partnerID=40&md5=9b6d5ba3f2dfb1fcf58068f7e570c56d","Article","Article in press","","Scopus","2-s2.0-85198057569"
"Lopez-de-Silanes F.; McCahery J.; Pudschedl P.","Lopez-de-Silanes, Florencio (6603903853); McCahery, Joseph A. (6506971609); Pudschedl, Paul C. (57217735276)","6603903853; 6506971609; 57217735276","Institutional Investors and ESG Preferences","2024","Corporate Governance: An International Review","","","","","","","4","10.1111/corg.12583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190944211&doi=10.1111%2fcorg.12583&partnerID=40&md5=d25b8ab47f9468378972a66d93ded5de","Article","Article in press","","Scopus","2-s2.0-85190944211"
"Awuah B.; Elbardan H.; Yazdifar H.","Awuah, Benjamin (57225948323); Elbardan, Hany (55491063000); Yazdifar, Hassan (23975260000)","57225948323; 55491063000; 23975260000","Chief executive officer narcissism, power and sustainable development goals reporting: An empirical analysis","2024","Business Strategy and the Environment","","","","","","","0","10.1002/bse.3889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199253270&doi=10.1002%2fbse.3889&partnerID=40&md5=b99bdbd1392fc4b3d37874485c02e38d","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199253270"
"Mushwana P.; Chikutuma C.; Erin O.","Mushwana, Phoebe (59202369700); Chikutuma, Chisinga (58749962300); Erin, Olayinka (57193433759)","59202369700; 58749962300; 57193433759","Does integrated reporting assurance impact investment decision-making? Insight from 100 listed firms in South Africa","2024","Cogent Business and Management","11","1","2369213","","","","0","10.1080/23311975.2024.2369213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197451680&doi=10.1080%2f23311975.2024.2369213&partnerID=40&md5=2b5a135d2ee819e8ef39651cb8b3fe6e","Article","Final","","Scopus","2-s2.0-85197451680"
"Jonwall R.; Gupta S.; Pahuja S.","Jonwall, Renu (57796296100); Gupta, Seema (57213338000); Pahuja, Shuchi (57191765555)","57796296100; 57213338000; 57191765555","Do socially responsible indices outperform conventional indices? Evidence from before and after the onset of Covid-19","2024","Corporate Social Responsibility and Environmental Management","","","","","","","0","10.1002/csr.2839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192951209&doi=10.1002%2fcsr.2839&partnerID=40&md5=b34a26e5ba7c002e5d86d0d6da7f6cf6","Article","Article in press","","Scopus","2-s2.0-85192951209"
