"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Saini N.; Singhania M.; Hasan M.; Yadav M.P.; Abedin M.Z.","Saini, Neha (57190030363); Singhania, Monica (36158704400); Hasan, Morshadul (57210554019); Yadav, Miklesh Prasad (57214153198); Abedin, Mohammad Zoynul (57193336983)","57190030363; 36158704400; 57210554019; 57214153198; 57193336983","Non-financial disclosures and sustainable development: A scientometric analysis","2022","Journal of Cleaner Production","381","","135173","","","","32","10.1016/j.jclepro.2022.135173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142537630&doi=10.1016%2fj.jclepro.2022.135173&partnerID=40&md5=48d34ec16fd253409911aafe59d6d81c","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85142537630"
"Zhang C.; Chen D.","Zhang, Chunlian (58742824100); Chen, Danni (57201348117)","58742824100; 57201348117","Do environmental, social, and governance scores improve green innovation? Empirical evidence from Chinese-listed companies","2023","PLoS ONE","18","5 May","e0279220","","","","13","10.1371/journal.pone.0279220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160457155&doi=10.1371%2fjournal.pone.0279220&partnerID=40&md5=9b7103ab22ffc04f90bf99f989b01c1d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85160457155"
"Jitmaneeroj B.","Jitmaneeroj, Boonlert (52563697400)","52563697400","Time-varying fund manager skills of socially responsible investing (SRI) funds in developed and emerging markets","2023","Research in International Business and Finance","64","","101877","","","","7","10.1016/j.ribaf.2023.101877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146901794&doi=10.1016%2fj.ribaf.2023.101877&partnerID=40&md5=705ba80ca2576f766f4061dfaae0e3db","Article","Final","","Scopus","2-s2.0-85146901794"
"Rahman M.I.A.; Lau W.-Y.","Rahman, Muhammad Irfan Abdul (58503511200); Lau, Wee-Yeap (58852012400)","58503511200; 58852012400","How has ESG investing impacted investment portfolios? A case study of the Malaysian civil service pension fund","2023","Asian Journal of Economic Modelling","11","1","","15","28","13","5","10.55493/5009.v11i1.4734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151422649&doi=10.55493%2f5009.v11i1.4734&partnerID=40&md5=67f7e20d685e7b1894a89a4c1452f5c0","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151422649"
"Peng H.; Zhang Z.; Goodell J.W.; Li M.","Peng, Hongfeng (23390364100); Zhang, Zhenqi (58090443400); Goodell, John W. (24068577200); Li, Mingsheng (25650063500)","23390364100; 58090443400; 24068577200; 25650063500","Socially responsible investing: Is it for real or just for show?","2023","International Review of Financial Analysis","86","","102553","","","","10","10.1016/j.irfa.2023.102553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147371555&doi=10.1016%2fj.irfa.2023.102553&partnerID=40&md5=016f371b5567fadc9bbfb2fc946d9203","Article","Final","","Scopus","2-s2.0-85147371555"
"Abor J.Y.; Agyeman B.; Wamaitha M.","Abor, Joshua Yindenaba (55939861700); Agyeman, Benjamin (58493868400); Wamaitha, Mary (58493505300)","55939861700; 58493868400; 58493505300","Evolution, principles and concepts of sustainable and responsible investment","2023","Sustainable and Responsible Investment in Developing Markets","","","","12","35","23","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165166967&partnerID=40&md5=5e257343d9ab1608fdc4df6b6487180f","Book chapter","Final","","Scopus","2-s2.0-85165166967"
"Fiordelisi F.; Galloppo G.; Paimanova V.","Fiordelisi, Franco (55948025200); Galloppo, Giuseppe (56045731700); Paimanova, Viktoriia (56875418000)","55948025200; 56045731700; 56875418000","Climate change shocks and socially responsible investments","2023","Business Ethics, Environment and Responsibility","32","1","","40","56","16","7","10.1111/beer.12477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137364222&doi=10.1111%2fbeer.12477&partnerID=40&md5=e2d01696ca6c37d6002aadd46f6941c6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85137364222"
"Puaschunder J.M.","Puaschunder, Julia M. (57191993389)","57191993389","Responsible investment around the world: Finance after the great reset","2023","Responsible Investment Around the World: Finance after the Great Reset","","","","1","239","238","0","10.1108/9781803828510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168345872&doi=10.1108%2f9781803828510&partnerID=40&md5=6fe632b61cba93fb67e7fb63111f9c80","Book","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85168345872"
"Singh A.K.; Zhang Y.; Anu","Singh, Amit Kumar (57203161819); Zhang, Yifang (57896094900); Anu (57894667900)","57203161819; 57896094900; 57894667900","Understanding the Evolution of Environment, Social and Governance Research: Novel Implications From Bibliometric and Network Analysis","2023","Evaluation Review","47","2","","350","386","36","11","10.1177/0193841X221121244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138250344&doi=10.1177%2f0193841X221121244&partnerID=40&md5=1b50bc01b717414ee829dfbcbac6f6b9","Review","Final","","Scopus","2-s2.0-85138250344"
"Tiwari R.; Sharma N.; Sharma N.K.","Tiwari, Rajesh (57223370518); Sharma, Neeraj (57205972233); Sharma, Nagendra Kumar (56765112500)","57223370518; 57205972233; 56765112500","Categorizing and Understanding the Evolution of Literature on ESG Investments: A Bibliometric Analysis","2023","Vision","","","","","","","2","10.1177/09722629231197574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174177922&doi=10.1177%2f09722629231197574&partnerID=40&md5=eabba27eff7ca760084e8c1922d10f30","Article","Article in press","","Scopus","2-s2.0-85174177922"
"Mishra A.K.; Bansal R.; Maurya P.K.","Mishra, Anand Kumar (57833152800); Bansal, Rohit (56890487800); Maurya, Prince Kumar (57833249500)","57833152800; 56890487800; 57833249500","Investing for a better tomorrow: Values-driven antecedents of investment in socially responsible equity funds by Indian retail investors","2023","Journal of Cleaner Production","420","","138441","","","","13","10.1016/j.jclepro.2023.138441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168121819&doi=10.1016%2fj.jclepro.2023.138441&partnerID=40&md5=bbc995154975f68c162f08918ac95b15","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85168121819"
"Tomassetti P.","Tomassetti, Paolo (57361057300)","57361057300","Between stakeholders and shareholders: Pension funds and labour solidarity in the age of sustainability","2023","European Labour Law Journal","14","1","","73","91","18","2","10.1177/20319525221140422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175216828&doi=10.1177%2f20319525221140422&partnerID=40&md5=a377051f1e6d3c753bbb757ed983fe31","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85175216828"
"Monge M.; Lazcano A.; Parada J.L.","Monge, Manuel (56919282800); Lazcano, Ana (57760117700); Parada, José Luis (58246559000)","56919282800; 57760117700; 58246559000","Growth vs value investing: Persistence and time trend before and after COVID-19","2023","Research in International Business and Finance","65","","101984","","","","3","10.1016/j.ribaf.2023.101984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159210178&doi=10.1016%2fj.ribaf.2023.101984&partnerID=40&md5=be6f14ea9eeba4c93687d617bdbbafbd","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85159210178"
"Koenigsmarck M.; Geissdoerfer M.","Koenigsmarck, Markus (58098025800); Geissdoerfer, Martin (57191488230)","58098025800; 57191488230","Shifting the Focus to Measurement: A Review of Socially Responsible Investing and Sustainability Indicators","2023","Sustainability (Switzerland) ","15","2","984","","","","4","10.3390/su15020984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167799284&doi=10.3390%2fsu15020984&partnerID=40&md5=014db563ab824dd3e5e22fc57a949a34","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167799284"
"Havlinova A.; Kukacka J.","Havlinova, Aneta (57258364800); Kukacka, Jiri (57195633252)","57258364800; 57195633252","Corporate Social Responsibility and Stock Prices After the Financial Crisis: The Role of Strategic CSR Activities","2023","Journal of Business Ethics","182","1","","223","242","19","33","10.1007/s10551-021-04935-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114872010&doi=10.1007%2fs10551-021-04935-9&partnerID=40&md5=b4445b7b6637f61f7aad06dcca9499fc","Article","Final","","Scopus","2-s2.0-85114872010"
