"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Buckley P.J.","Buckley, Peter J. (7202909430)","7202909430","The social purpose of the modern business corporation","2021","Annals of Corporate Governance","6","1","","1","89","88","6","10.1561/109.00000026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114603683&doi=10.1561%2f109.00000026&partnerID=40&md5=b500663b18522a113e5f19af63191a78","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85114603683"
"Hervé F.; Marsat S.","Hervé, Fabrice (55836331600); Marsat, Sylvain (57204484679)","55836331600; 57204484679","Eco-anxiety, connectedness to nature, and green equity investments","2023","Economics Bulletin","43","3","","1485","1492","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196028369&partnerID=40&md5=3d8c450e95bf1684185b1fc338b651b0","Article","Final","","Scopus","2-s2.0-85196028369"
"Valadkhani A.; O'Mahony B.","Valadkhani, Abbas (6506490711); O'Mahony, Barry (55962279300)","6506490711; 55962279300","Sustainable investing in extreme market conditions: doing well while doing good","2024","Journal of Economic Studies","","","","","","","0","10.1108/JES-11-2023-0626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193219379&doi=10.1108%2fJES-11-2023-0626&partnerID=40&md5=bbe5c7d809b71ef96fbf3f99507edf48","Article","Article in press","","Scopus","2-s2.0-85193219379"
"An J.; Briley D.; Danziger S.; Levi S.","An, Jake (57202039964); Briley, Donnel (11240809600); Danziger, Shai (7003735588); Levi, Shai (56162073900)","57202039964; 11240809600; 7003735588; 56162073900","The Impact of Social Investing on Charitable Donations","2023","Management Science","69","2","","1264","1274","10","5","10.1287/mnsc.2022.4339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149182199&doi=10.1287%2fmnsc.2022.4339&partnerID=40&md5=84ddbbe546dcc6cfe6ba9c26ce883d42","Article","Final","","Scopus","2-s2.0-85149182199"
"Mainardes E.W.; dos Santos J.S.","Mainardes, Emerson Wagner (35764807800); dos Santos, Julio Simão (58790324600)","35764807800; 58790324600","The Effects on Corporate Reputation of Corporate Social Irresponsibility, Philanthropy, and Customer Value Orientation","2023","Corporate Reputation Review","","","","","","","0","10.1057/s41299-023-00173-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181192848&doi=10.1057%2fs41299-023-00173-z&partnerID=40&md5=5ba69a1c1b437088ac419d45a6f733f9","Article","Article in press","","Scopus","2-s2.0-85181192848"
"Mohieldin M.; Wahba S.; Gonzalez-Perez M.A.; Shehata M.","Mohieldin, Mahmoud (55525691700); Wahba, Sameh (57205613733); Gonzalez-Perez, Maria Alejandra (22834292600); Shehata, Miral (58245460000)","55525691700; 57205613733; 22834292600; 58245460000","Business, Government and the SDGs: The Role of Public-Private Engagement in Building a Sustainable Future","2022","Business, Government and the SDGs: The Role of Public-Private Engagement in Building a Sustainable Future","","","","1","162","161","3","10.1007/978-3-031-11196-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159109252&doi=10.1007%2f978-3-031-11196-9&partnerID=40&md5=bd347c01999b480e26ae261ccfaebe62","Book","Final","","Scopus","2-s2.0-85159109252"
"Kim H.M.; Lee I.-H.; Joo K.; Lee J.; Hwang J.","Kim, Heather Markham (57298775500); Lee, In-Hye (57762900900); Joo, Kyuhyeon (57487338300); Lee, Junghoon (57268973000); Hwang, Jinsoo (36052898700)","57298775500; 57762900900; 57487338300; 57268973000; 36052898700","Psychological Benefits of Purchasing Home Meal Replacement in the Context of Eco-Friendly TV Home Shopping Broadcast: The Moderating Role of Personal Norm","2022","International Journal of Environmental Research and Public Health","19","13","7759","","","","5","10.3390/ijerph19137759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132783155&doi=10.3390%2fijerph19137759&partnerID=40&md5=98b0b349781dd9099d53fbe1b7e25061","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132783155"
"Ning Y.; Bin Ismail H.; Piew L.K.","Ning, Yang (58687575800); Bin Ismail, Hishamuddin (58687758800); Piew, Lai Kim (58688118600)","58687575800; 58687758800; 58688118600","When Corporate Social Responsibility Pays Off: The Power of Effective Communication for Customer Satisfaction","2023","International Journal of Technology","14","6","","1354","1366","12","1","10.14716/ijtech.v14i6.6641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176273248&doi=10.14716%2fijtech.v14i6.6641&partnerID=40&md5=6a4aa4e7056893c2cf95b323d8fb269c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85176273248"
"Siemroth C.; Hornuf L.","Siemroth, Christoph (57189583106); Hornuf, Lars (35621810000)","57189583106; 35621810000","Why Do Retail Investors Pick Green Investments? A Lab-in-the-Field Experiment with Crowdfunders","2023","Journal of Economic Behavior and Organization","209","","","74","90","16","10","10.1016/j.jebo.2023.02.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149842637&doi=10.1016%2fj.jebo.2023.02.023&partnerID=40&md5=88d9babd00861e79f1575e8b43baab84","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85149842637"
"Dawkins C.E.; Youm Y.N.","Dawkins, Cedric E. (24340920400); Youm, Yoo Na (57195239698)","24340920400; 57195239698","Keeping them honest? Exploring the impact of labor unions on CSR","2024","Social Responsibility Journal","20","7","","1300","1316","16","1","10.1108/SRJ-12-2023-0695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190376368&doi=10.1108%2fSRJ-12-2023-0695&partnerID=40&md5=0247507e0ada5ab23af10bcee674eda9","Article","Final","","Scopus","2-s2.0-85190376368"
