"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2007","2007","PC","Percentage","0","Units",,,12.336,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2008","2008","PC","Percentage","0","Units",,,12.126,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2009","2009","PC","Percentage","0","Units",,,10.927,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2010","2010","PC","Percentage","0","Units",,,11.355,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2011","2011","PC","Percentage","0","Units",,,11.438,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2012","2012","PC","Percentage","0","Units",,,11.169,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2013","2013","PC","Percentage","0","Units",,,11.039,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2014","2014","PC","Percentage","0","Units",,,11.156,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2015","2015","PC","Percentage","0","Units",,,11.259,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2016","2016","PC","Percentage","0","Units",,,11.342,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2017","2017","PC","Percentage","0","Units",,,11.552,,
"EU28","European Union (28 countries)","GHG","Greenhouse gases","ENER_MANUF_P","1A2 - Manufacturing industries and construction (%)","2018","2018","PC","Percentage","0","Units",,,11.837,,
