"COUNTRY","Country","SECTOR","Sector","CATEGORY","Category","VARIABLE","Variable","CURRENCY","Currency","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",13.962636,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",33.057209,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",47.019844,,
"AUT","Austria","INDUSTRY","Industry (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",47.019844,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",740.4436,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",88.62233,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",88.62233,,
"AUT","Austria","AGRIFISH","Agriculture & fisheries (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",88.62233,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",7445.8457,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",38.000198,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",38.000198,,
"AUT","Austria","RESCOM","Buildings (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",38.000198,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",4416.5552,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0.016067851,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",52.93,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",52.946068,,
"AUT","Austria","ELEC","Electricity (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",52.946068,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",13507.224,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",22.71067,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",22.71067,,
"AUT","Austria","OGHGEX","Other GHG (excl. LUCF)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",22.71067,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",113855.37,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",46.090099,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",20.510811,,
